#{"t_start": 1764689908.831953, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt,power_floris_opt_stochastic,power_floris_opt_stochastic_1seed,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int,simseed,DEL
-12.894051599162351,1,901.041927,-12.894051599162351,-12.894051599162351,-20.171806192943755,"[1847.8393154348641, 1407.0172549159345, 2019.2682838085288]",[2144.91625891 1446.31363359 2463.60901459],[2144.91625891 1446.31363359 2463.60901459],[2424.51137501 1563.33660755 2618.99679575],[123.47811865  56.90298986  55.3343338 ],[115.8474042  52.         52.       ],[92.  64.5 64.5],[-31.47811865  35.09701014  36.6656662 ],[-23.8474042  40.         40.       ],[ 0.  27.5 27.5],92.0,10.0,0.05,4512461923012,"{'RotTorq_[kN-m]': 165.63419696592612, 'RootMxc1_[kN-m]': 5776.721333168321, 'RootMyc1_[kN-m]': 2634.0333321715357, 'RootMzc1_[kN-m]': 72.60675924007388, 'TwrBsMxt_[kN-m]': 3018.097500045478, 'TwrBsMyt_[kN-m]': 4485.73572912826, 'TwrBsMzt_[kN-m]': 894.2798945692442, 'YawBrMxn_[kN-m]': 180.16463400215252, 'YawBrMyn_[kN-m]': 793.6129189820435, 'YawBrMzn_[kN-m]': 893.919565938318}"
-6.335494656977561,1,901.042535,-6.335494656977561,-6.335494656977561,-7.322402797934837,"[2759.66172795874, 611.8405826843355, 1718.064130012591]",[2085.67605658 1025.04210333 2323.10804994],[2085.67605658 1025.04210333 2323.10804994],[2061.00564369 1053.88689376 2376.79757355],[69.69180856 54.90298986 70.81094198],[62.06109411 50.         67.47660819],[90.  57.5 60. ],[20.30819144 35.09701014 19.18905802],[27.93890589 40.         22.52339181],[ 0.  32.5 30. ],90.0,10.0,0.025,9234677353604,"{'RotTorq_[kN-m]': 72.10747142589615, 'RootMxc1_[kN-m]': 5530.414173032583, 'RootMyc1_[kN-m]': 2068.721407360793, 'RootMzc1_[kN-m]': 68.84319074463855, 'TwrBsMxt_[kN-m]': 3097.004799605467, 'TwrBsMyt_[kN-m]': 5105.737174688912, 'TwrBsMzt_[kN-m]': 571.8708107414717, 'YawBrMxn_[kN-m]': 134.10846818604728, 'YawBrMyn_[kN-m]': 595.1039040493647, 'YawBrMzn_[kN-m]': 571.9226795360402}"
-3.2974367040260812,1,901.042894,-3.2974367040260812,-3.2974367040260812,-3.4389803103451495,"[1687.5198174983814, 1269.8479803515293, 2304.786372038319]",[1916.14156164 1196.68264578 2328.76285143],[1916.14156164 1196.68264578 2328.76285143],[1942.67338899 1228.51791894 2278.37228077],[96.30445892 58.67750844 53.3343338 ],[88.67374447 53.77451858 50.        ],[90.   61.25 60.  ],[-6.30445892 31.32249156 36.6656662 ],[ 1.32625553 36.22548142 40.        ],[ 0.   28.75 30.  ],90.0,10.0,0.05,1445546630217,"{'RotTorq_[kN-m]': 115.65312408347438, 'RootMxc1_[kN-m]': 5540.7027235638625, 'RootMyc1_[kN-m]': 2402.113628591029, 'RootMzc1_[kN-m]': 74.1870384354175, 'TwrBsMxt_[kN-m]': 2195.2713800364313, 'TwrBsMyt_[kN-m]': 4503.662343495432, 'TwrBsMzt_[kN-m]': 798.3265239905949, 'YawBrMxn_[kN-m]': 140.69897481717794, 'YawBrMyn_[kN-m]': 845.62719432968, 'YawBrMzn_[kN-m]': 798.3515231197276}"
-9.825357782306519,1,901.043234,-9.825357782306519,-9.825357782306519,-5.5720908149974875,"[2104.7551455859284, 1335.5894582842432, 2615.3237196919085]",[2346.88270857 1781.10681473 2587.49963711],[2346.88270857 1781.10681473 2587.49963711],[2146.68145722 1659.05125037 2607.27418394],[106.57582116  58.90298986  63.23697872],[98.94510671 54.         59.90264493],[94. 69. 69.],[-12.57582116  35.09701014  30.76302128],[-4.94510671 40.         34.09735507],[ 0. 25. 25.],94.0,10.0,0.05,7328497322299,"{'RotTorq_[kN-m]': 166.66785438709448, 'RootMxc1_[kN-m]': 5770.037852191946, 'RootMyc1_[kN-m]': 2642.5405635134452, 'RootMzc1_[kN-m]': 77.90773112852584, 'TwrBsMxt_[kN-m]': 2454.213415585627, 'TwrBsMyt_[kN-m]': 5043.474532154344, 'TwrBsMzt_[kN-m]': 973.4181736787758, 'YawBrMxn_[kN-m]': 227.44546541675587, 'YawBrMyn_[kN-m]': 805.0717606926743, 'YawBrMzn_[kN-m]': 973.4365601808671}"
-10.148714650594,1,901.043595,-10.148714650594,-10.148714650594,-7.700618584549124,"[1718.5562170841135, 2201.5640179085617, 2061.992428505351]",[2312.64067746 1761.73958374 2583.4128246 ],[2312.64067746 1761.73958374 2583.4128246 ],[2234.23003354 1677.11132271 2569.86422906],[75.28222438 74.05850547 57.3343338 ],[67.65150994 69.15551561 54.        ],[94. 69. 69.],[18.71777562 19.94149453 36.6656662 ],[26.34849006 24.84448439 40.        ],[ 0. 25. 25.],94.0,10.0,0.025,9925071500038,"{'RotTorq_[kN-m]': 74.71955064353932, 'RootMxc1_[kN-m]': 5526.121126829931, 'RootMyc1_[kN-m]': 2354.0348265586686, 'RootMzc1_[kN-m]': 76.62886657323446, 'TwrBsMxt_[kN-m]': 1224.7543186345388, 'TwrBsMyt_[kN-m]': 3033.5576316483202, 'TwrBsMzt_[kN-m]': 850.6530059107085, 'YawBrMxn_[kN-m]': 108.71017233810169, 'YawBrMyn_[kN-m]': 835.8933699757582, 'YawBrMzn_[kN-m]': 850.5881235656252}"
-5.330391577816571,1,901.043916,-5.330391577816571,-5.330391577816571,-6.483578469637168,"[3063.3879048351287, 1071.5186965171213, 1637.8294827958744]",[2101.85434646 1520.50561821 2475.41120007],[2101.85434646 1520.50561821 2475.41120007],[2177.835771   1600.21794968 2394.91140104],[112.50868448  68.82670955  90.53646252],[104.87797003  63.92371969  87.20212872],[92.   65.75 64.5 ],[-20.50868448  23.17329045   1.46353748],[-12.87797003  28.07628031   4.79787128],[ 0.   26.25 27.5 ],92.0,10.0,0.075,2588106579710,"{'RotTorq_[kN-m]': 223.009719719172, 'RootMxc1_[kN-m]': 5865.796849970292, 'RootMyc1_[kN-m]': 2447.6542089475975, 'RootMzc1_[kN-m]': 77.28916308294606, 'TwrBsMxt_[kN-m]': 2894.9563175793887, 'TwrBsMyt_[kN-m]': 6407.156291341834, 'TwrBsMzt_[kN-m]': 942.4375445836904, 'YawBrMxn_[kN-m]': 234.15319307993545, 'YawBrMyn_[kN-m]': 924.7487721916709, 'YawBrMzn_[kN-m]': 943.0867863907451}"
-25.478674713835375,1,901.044248,-25.478674713835375,-25.478674713835375,-25.901853542712004,"[1751.8812764957984, 2535.8698240404788, 673.7245418148774]",[2312.64067746 1761.73958374 2583.4128246 ],[2312.64067746 1761.73958374 2583.4128246 ],[2251.39502095 1804.04770888 2640.37339994],[133.57442629 110.81465947  57.3343338 ],[125.94371184 105.91166961  54.        ],[94. 69. 69.],[-39.57442629 -16.81465947  36.6656662 ],[-31.94371184 -11.91166961  40.        ],[ 0. 25. 25.],94.0,10.0,0.025,4735604765400,"{'RotTorq_[kN-m]': 79.18945475162197, 'RootMxc1_[kN-m]': 5764.770104600186, 'RootMyc1_[kN-m]': 1437.250935025735, 'RootMzc1_[kN-m]': 66.22150809446731, 'TwrBsMxt_[kN-m]': 2972.3416542217797, 'TwrBsMyt_[kN-m]': 3635.676579588886, 'TwrBsMzt_[kN-m]': 612.9486369719933, 'YawBrMxn_[kN-m]': 112.56661774881252, 'YawBrMyn_[kN-m]': 596.4519486286962, 'YawBrMzn_[kN-m]': 613.1186758093455}"
-7.233109245457696,1,901.044578,-7.233109245457696,-7.233109245457696,-6.954820464596162,"[1592.1240814486998, 1301.1719332989653, 2763.4167001164656]",[2101.85434646 1520.50561821 2475.41120007],[2101.85434646 1520.50561821 2475.41120007],[2282.59385304 1514.93996348 2281.99952751],[103.11626478  56.90298986  55.3343338 ],[95.48555033 52.         52.        ],[92.   65.75 64.5 ],[-11.11626478  35.09701014  36.6656662 ],[-3.48555033 40.         40.        ],[ 0.   26.25 27.5 ],92.0,10.0,0.075,7082041906794,"{'RotTorq_[kN-m]': 240.48500010564055, 'RootMxc1_[kN-m]': 5749.16186213048, 'RootMyc1_[kN-m]': 3026.1387698368053, 'RootMzc1_[kN-m]': 78.17683120336176, 'TwrBsMxt_[kN-m]': 3518.3899954248336, 'TwrBsMyt_[kN-m]': 6684.009188573959, 'TwrBsMzt_[kN-m]': 1211.298591101842, 'YawBrMxn_[kN-m]': 274.45741969523664, 'YawBrMyn_[kN-m]': 1070.6187026268583, 'YawBrMzn_[kN-m]': 1211.1886605222546}"
-7.4411518896051785,1,901.044906,-7.4411518896051785,-7.4411518896051785,-8.121805769641421,"[2238.99715793648, 1367.211565792307, 2556.1678660641346]",[2312.64067746 1761.73958374 2583.4128246 ],[2312.64067746 1761.73958374 2583.4128246 ],[2299.03821814 1766.1331416  2641.94412225],[110.82310369  58.90298986  64.96937291],[103.19238924  54.          61.63503911],[94. 69. 69.],[-16.82310369  35.09701014  29.03062709],[-9.19238924 40.         32.36496089],[ 0. 25. 25.],94.0,10.0,0.025,3804001155802,"{'RotTorq_[kN-m]': 79.08040248280247, 'RootMxc1_[kN-m]': 5727.986168999608, 'RootMyc1_[kN-m]': 2137.6371952620298, 'RootMzc1_[kN-m]': 75.39272242080806, 'TwrBsMxt_[kN-m]': 1554.9847563809144, 'TwrBsMyt_[kN-m]': 3308.351673786829, 'TwrBsMzt_[kN-m]': 749.935330443764, 'YawBrMxn_[kN-m]': 126.25962413120776, 'YawBrMyn_[kN-m]': 659.2420365977122, 'YawBrMzn_[kN-m]': 749.9397611599234}"
8.521114988243212,1,901.045225,8.521114988243212,8.521114988243212,-4.561935059518639,"[3401.0548964703817, 1476.480018807172, 1739.834342138995]",[2101.85434646 1520.50561821 2475.41120007],[2101.85434646 1520.50561821 2475.41120007],[2493.15482997 1729.91686394 2710.60750583],[78.36004931 78.07744119 92.14074084],[70.72933486 73.17445132 88.80640704],[92.   65.75 64.5 ],[13.63995069 13.92255881 -0.14074084],[21.27066514 18.82554868  3.19359296],[ 0.   26.25 27.5 ],92.0,10.0,0.075,301004702588,"{'RotTorq_[kN-m]': 262.22650836692526, 'RootMxc1_[kN-m]': 5876.909127392646, 'RootMyc1_[kN-m]': 2723.320036034617, 'RootMzc1_[kN-m]': 85.11327498670913, 'TwrBsMxt_[kN-m]': 2110.2752444452303, 'TwrBsMyt_[kN-m]': 7030.802342425134, 'TwrBsMzt_[kN-m]': 1066.5964462757445, 'YawBrMxn_[kN-m]': 254.1886649046476, 'YawBrMyn_[kN-m]': 1075.1409016564492, 'YawBrMzn_[kN-m]': 1066.803495199622}"
-15.162322729768071,1,1339.696505,-15.162322729768071,-15.162322729768071,-13.209310709204235,"[1891.0275855329269, 2310.037389325707, 972.1424465678765]",[2101.85434646 1520.50561821 2475.41120007],[2101.85434646 1520.50561821 2475.41120007],[2097.91609102 1515.17604154 2347.46361795],[125.88855324  96.15649177  59.52989242],[118.25783879  91.2535019   56.19555862],[92.   65.75 64.5 ],[-33.88855324  -4.15649177  32.47010758],[-26.25783879   0.7464981   35.80444138],[ 0.   26.25 27.5 ],92.0,10.0,0.075,7866148198896,"{'RotTorq_[kN-m]': 215.53232306113622, 'RootMxc1_[kN-m]': 5809.513053157124, 'RootMyc1_[kN-m]': 2518.845737515741, 'RootMzc1_[kN-m]': 75.25342457662866, 'TwrBsMxt_[kN-m]': 4228.773300141463, 'TwrBsMyt_[kN-m]': 6381.432627278501, 'TwrBsMzt_[kN-m]': 1015.2577607112006, 'YawBrMxn_[kN-m]': 262.4849984494101, 'YawBrMyn_[kN-m]': 1064.8296624160655, 'YawBrMzn_[kN-m]': 1015.3399588917611}"
-17.772044065958767,1,1340.033087,-17.772044065958767,-17.772044065958767,-16.64990662693984,"[1689.986666276604, 2135.607943999792, 642.5296110915847]",[2085.67605658 1025.04210333 2323.10804994],[2085.67605658 1025.04210333 2323.10804994],[2066.81931794 1013.09159571 2280.7600113 ],[128.62008604 100.81012996  53.3343338 ],[120.98937159  95.90714009  50.        ],[90.  57.5 60. ],[-38.62008604 -10.81012996  36.6656662 ],[-30.98937159  -5.90714009  40.        ],[ 0.  32.5 30. ],90.0,10.0,0.025,9501571642040,"{'RotTorq_[kN-m]': 70.24920627041931, 'RootMxc1_[kN-m]': 5703.259447618653, 'RootMyc1_[kN-m]': 1386.134582596281, 'RootMzc1_[kN-m]': 63.36279740638496, 'TwrBsMxt_[kN-m]': 3194.5010510624415, 'TwrBsMyt_[kN-m]': 3720.6068824325375, 'TwrBsMzt_[kN-m]': 501.72878581013373, 'YawBrMxn_[kN-m]': 123.3800922157269, 'YawBrMyn_[kN-m]': 551.6431820484526, 'YawBrMzn_[kN-m]': 501.755387631383}"
-16.84182355084681,1,1340.033605,-16.84182355084681,-16.84182355084681,-14.927474603078632,"[2392.87573767636, 1619.0052865476764, 1058.9142804230216]",[2101.85434646 1520.50561821 2475.41120007],[2101.85434646 1520.50561821 2475.41120007],[2097.91609102 1515.17604154 2347.46361795],[131.67782501  74.60622702  68.75444795],[124.04711057  69.70323716  65.42011415],[92.   65.75 64.5 ],[-39.67782501  17.39377298  23.24555205],[-32.04711057  22.29676284  26.57988585],[ 0.   26.25 27.5 ],92.0,10.0,0.075,7256121597801,"{'RotTorq_[kN-m]': 222.2540905967835, 'RootMxc1_[kN-m]': 5780.746182356682, 'RootMyc1_[kN-m]': 2751.644210690019, 'RootMzc1_[kN-m]': 74.07518961421668, 'TwrBsMxt_[kN-m]': 3461.9697251711973, 'TwrBsMyt_[kN-m]': 6516.199257944671, 'TwrBsMzt_[kN-m]': 968.1756063242316, 'YawBrMxn_[kN-m]': 211.30797909777468, 'YawBrMyn_[kN-m]': 1014.9695896025136, 'YawBrMzn_[kN-m]': 968.4770960645284}"
-3.624978320372395,1,1340.033955,-3.624978320372395,-3.624978320372395,-2.93384349617318,"[1689.9820354244414, 1787.0507903410394, 2357.8125349859065]",[2260.71640836 1335.92061983 2457.67586229],[2260.71640836 1335.92061983 2457.67586229],[2260.47229694 1337.05150756 2413.68089435],[90.00892178 66.58183127 55.3343338 ],[82.37820733 61.67884141 52.        ],[92.  62.  64.5],[ 1.99107822 25.41816873 36.6656662 ],[ 9.62179267 30.32115859 40.        ],[ 0.  30.  27.5],92.0,10.0,0.025,9484826116628,"{'RotTorq_[kN-m]': 80.78539043362566, 'RootMxc1_[kN-m]': 5493.258657934411, 'RootMyc1_[kN-m]': 2303.202158929779, 'RootMzc1_[kN-m]': 77.47929732955294, 'TwrBsMxt_[kN-m]': 1264.9466524813754, 'TwrBsMyt_[kN-m]': 3250.1046759297496, 'TwrBsMzt_[kN-m]': 733.5395380234213, 'YawBrMxn_[kN-m]': 117.58326998407506, 'YawBrMyn_[kN-m]': 890.4126144220471, 'YawBrMzn_[kN-m]': 733.4692365726341}"
-3.693076692904661,1,1340.034256,-3.693076692904661,-3.693076692904661,-3.814847090987763,"[2172.8048717022725, 2317.6849637641562, 2591.5980522422915]",[2461.47917025 2188.05439081 2704.13079091],[2461.47917025 2188.05439081 2704.13079091],[2474.66509096 2237.7347017  2650.57429796],[83.5989869  74.94567003 67.45256286],[75.96827245 70.04268017 64.11822906],[96.  76.  73.5],[12.4010131  21.05432997 28.54743714],[20.03172755 25.95731983 31.88177094],[ 0.  20.  22.5],96.0,10.0,0.05,1388377071644,"{'RotTorq_[kN-m]': 162.744978691626, 'RootMxc1_[kN-m]': 5669.114362312658, 'RootMyc1_[kN-m]': 2593.988086140969, 'RootMzc1_[kN-m]': 82.2053966003313, 'TwrBsMxt_[kN-m]': 1895.3657705701746, 'TwrBsMyt_[kN-m]': 4318.128832903173, 'TwrBsMzt_[kN-m]': 979.901845562859, 'YawBrMxn_[kN-m]': 177.84366254506838, 'YawBrMyn_[kN-m]': 922.580779161139, 'YawBrMzn_[kN-m]': 980.1378522231811}"
